value_kind,group,feature,count,min,p05,p25,median,mean,p75,p95,max,std,unique_count,pct_exact_0,pct_exact_1,pct_near_0,pct_near_1
calibrated,generalized,tactical_density,148,0.0,0.050000050000000004,0.25000025000000003,0.5,0.49999998648648647,0.74999975,0.94999995,1.0,0.29062584894915783,140,0.6756756756756757,0.6756756756756757,5.405405405405405,5.405405405405405
calibrated,generalized,quiet_position_density,148,0.0,0.050000050000000004,0.25000025000000003,0.493197,0.49999999324324323,0.75085,0.94642855,1.0,0.29058063529040784,113,0.6756756756756757,0.6756756756756757,5.405405405405405,5.405405405405405
calibrated,generalized,king_safety_risk,148,0.003401,0.081633,0.255102,0.578231,0.49999983783783786,0.578231,0.94999995,1.0,0.2565734593068356,16,0.0,0.6756756756756757,1.3513513513513513,5.405405405405405
calibrated,generalized,early_castling_tendency,148,0.003401,0.091837,0.25,0.489796,0.5000000810810811,0.75850325,0.94999995,1.0,0.29026032764582377,80,0.0,0.6756756756756757,3.3783783783783785,5.405405405405405
calibrated,generalized,opposite_side_castling_tendency,148,0.204082,0.20408199999999999,0.204082,0.493197,0.5000000878378379,0.748299,0.94999995,1.0,0.28019565891516673,39,0.0,0.6756756756756757,0.0,5.405405405405405
calibrated,generalized,middlegame_complexity,148,0.0,0.050000050000000004,0.25000025000000003,0.5,0.5,0.74999975,0.94999995,1.0,0.2906317376894545,146,0.6756756756756757,0.6756756756756757,5.405405405405405,5.405405405405405
calibrated,generalized,pawn_structure_sharpness,148,0.251701,0.251701,0.251701,0.251701,0.5000002567567567,0.751701,0.87415,1.0,0.2696573392756404,25,0.0,0.6756756756756757,0.0,2.7027027027027026
calibrated,generalized,material_imbalance,148,0.231293,0.231293,0.231293,0.5034015000000001,0.5000002364864865,0.785714,0.94761925,1.0,0.27441969136326627,20,0.0,0.6756756756756757,0.0,5.405405405405405
calibrated,generalized,endgame_likelihood_proxy,148,0.0,0.050000050000000004,0.25000025000000003,0.5,0.5,0.74999975,0.94999995,1.0,0.29063228610712083,148,0.6756756756756757,0.6756756756756757,5.405405405405405,5.405405405405405
calibrated,white,white_tactical_density,148,0.0,0.050000050000000004,0.25000025000000003,0.5,0.5000000067567567,0.7474489999999999,0.94999995,1.0,0.29063039447584005,143,0.6756756756756757,0.6756756756756757,5.405405405405405,5.405405405405405
