position_epd,fen,total_games,covered_games,coverage,moves_json,white_practical_gamble_raw,white_practical_gamble,white_practical_gamble_games,white_practical_gamble_coverage,black_practical_gamble_raw,black_practical_gamble,black_practical_gamble_games,black_practical_gamble_coverage
1rbq1rk1/1p2ppbp/p2p1np1/n1pP4/2P5/1PN3P1/P1QNPPBP/R1B2RK1 b - -,1rbq1rk1/1p2ppbp/p2p1np1/n1pP4/2P5/1PN3P1/P1QNPPBP/R1B2RK1 b - - 0 11,748,748,1.0,"[{""games"":705,""share"":0.9425133689839572,""uci"":""b7b5""},{""games"":12,""share"":0.016042780748663103,""uci"":""e7e5""},{""games"":11,""share"":0.014705882352941176,""uci"":""c8d7""},{""games"":9,""share"":0.012032085561497326,""uci"":""e7e6""},{""games"":7,""share"":0.009358288770053475,""uci"":""c8f5""},{""games"":1,""share"":0.001336898395721925,""uci"":""f6g4""},{""games"":1,""share"":0.001336898395721925,""uci"":""f6d5""},{""games"":1,""share"":0.001336898395721925,""uci"":""f8e8""},{""games"":1,""share"":0.001336898395721925,""uci"":""b7b6""}]",0.0005082708000461178,0.03268360598677341,748,1.0,0.0023978805294393446,0.13278802645318483,715,1.0
1rbq1rk1/1p2ppbp/p2p1np1/n1pP4/2P5/2N3P1/PPQNPPBP/R1B2RK1 w - -,1rbq1rk1/1p2ppbp/p2p1np1/n1pP4/2P5/2N3P1/PPQNPPBP/R1B2RK1 w - - 2 11,1306,1306,1.0,"[{""games"":743,""share"":0.5689127105666156,""uci"":""b2b3""},{""games"":238,""share"":0.18223583460949463,""uci"":""a2a4""},{""games"":219,""share"":0.16768759571209801,""uci"":""a1b1""},{""games"":60,""share"":0.045941807044410414,""uci"":""a2a3""},{""games"":38,""share"":0.02909647779479326,""uci"":""e2e4""},{""games"":3,""share"":0.002297090352220521,""uci"":""h2h3""},{""games"":1,""share"":0.0007656967840735069,""uci"":""c3d1""},{""games"":1,""share"":0.0007656967840735069,""uci"":""f1d1""},{""games"":1,""share"":0.0007656967840735069,""uci"":""c2d3""},{""games"":1,""share"":0.0007656967840735069,""uci"":""f1e1""},{""games"":1,""share"":0.0007656967840735069,""uci"":""c3e4""}]",0.0005082708000461178,0.03268360598677341,748,1.0,0.0058031964240684575,0.35537765402018795,1306,1.0
1rbq1rk1/1pp1ppbp/p1np1np1/8/2PP4/2N1BNPP/PP2PPB1/R2Q1RK1 b - -,1rbq1rk1/1pp1ppbp/p1np1np1/8/2PP4/2N1BNPP/PP2PPB1/R2Q1RK1 b - - 2 9,288,288,1.0,"[{""games"":183,""share"":0.6354166666666666,""uci"":""b7b5""},{""games"":41,""share"":0.1423611111111111,""uci"":""e7e5""},{""games"":29,""share"":0.10069444444444445,""uci"":""c8d7""},{""games"":17,""share"":0.059027777777777776,""uci"":""c6a5""},{""games"":5,""share"":0.017361111111111112,""uci"":""f8e8""},{""games"":5,""share"":0.017361111111111112,""uci"":""f6d7""},{""games"":3,""share"":0.010416666666666666,""uci"":""c8f5""},{""games"":2,""share"":0.006944444444444444,""uci"":""h7h6""},{""games"":1,""share"":0.003472222222222222,""uci"":""b7b6""},{""games"":1,""share"":0.003472222222222222,""uci"":""f6h5""},{""games"":1,""share"":0.003472222222222222,""uci"":""c6a7""}]",0.007374620430784851,0.45777932474765054,288,1.0,0.005195083752797425,0.31399234249912983,183,1.0
1rbq1rk1/1pp1ppbp/p1np1np1/8/2PP4/2N2NPP/PP2PPB1/R1BQ1RK1 w - -,1rbq1rk1/1pp1ppbp/p1np1np1/8/2PP4/2N2NPP/PP2PPB1/R1BQ1RK1 w - - 1 9,2519,2519,1.0,"[{""games"":921,""share"":0.36562127828503377,""uci"":""e2e4""},{""games"":705,""share"":0.27987296546248513,""uci"":""a2a4""},{""games"":270,""share"":0.10718539102818579,""uci"":""c1e3""},{""games"":205,""share"":0.0813815005954744,""uci"":""d4d5""},{""games"":84,""share"":0.0333465660976578,""uci"":""b2b3""},{""games"":76,""share"":0.03017070265978563,""uci"":""f1e1""},{""games"":40,""share"":0.015879317189360857,""uci"":""c1g5""},{""games"":38,""share"":0.015085351329892815,""uci"":""a2a3""},{""games"":29,""share"":0.011512504962286622,""uci"":""d1d3""},{""games"":29,""share"":0.011512504962286622,""uci"":""c1f4""},{""games"":22,""share"":0.008733624454148471,""uci"":""g1h2""},{""games"":19,""share"":0.007542675664946407,""uci"":""e2e3""},{""games"":19,""share"":0.007542675664946407,""uci"":""d1c2""},{""games"":17,""share"":0.006748709805478364,""uci"":""a1b1""},{""games"":14,""share"":0.0055577610162763,""uci"":""d1d2""},{""games"":11,""share"":0.004366812227074236,""uci"":""f3e1""},{""games"":5,""share"":0.001984914648670107,""uci"":""c3d5""},{""games"":4,""share"":0.0015879317189360857,""uci"":""f3d2""},{""games"":3,""share"":0.0011909487892020642,""uci"":""c1d2""},{""games"":3,""share"":0.0011909487892020642,""uci"":""g3g4""},{""games"":2,""share"":0.0007939658594680428,""uci"":""f3g5""},{""games"":1,""share"":0.0003969829297340214,""uci"":""d1a4""},{""games"":1,""share"":0.0003969829297340214,""uci"":""f3h2""},{""games"":1,""share"":0.0003969829297340214,""uci"":""c4c5""}]",0.006323946073708009,0.38955795335885834,1466,1.0,0.010158144346951836,0.6011834319526628,2519,1.0
1rbq1rk1/1pp1ppbp/p1np1np1/8/2PPP3/2N1BP2/PP1QN1PP/R3KB1R w KQ -,1rbq1rk1/1pp1ppbp/p1np1np1/8/2PPP3/2N1BP2/PP1QN1PP/R3KB1R w KQ - 2 9,3107,3107,1.0,"[{""games"":491,""share"":0.15803025426456388,""uci"":""g2g4""},{""games"":411,""share"":0.13228194399742516,""uci"":""e2c1""},{""games"":404,""share"":0.13002896684905052,""uci"":""a1c1""},{""games"":366,""share"":0.11779851947215964,""uci"":""a2a4""},{""games"":294,""share"":0.09462504023173479,""uci"":""d4d5""},{""games"":274,""share"":0.08818796266495012,""uci"":""e1a1""},{""games"":269,""share"":0.08657869327325395,""uci"":""e3h6""},{""games"":236,""share"":0.07595751528805922,""uci"":""h2h4""},{""games"":184,""share"":0.059221113614419056,""uci"":""e2g3""},{""games"":51,""share"":0.016414547795300934,""uci"":""a1b1""},{""games"":41,""share"":0.013196009011908594,""uci"":""a2a3""},{""games"":23,""share"":0.007402639201802382,""uci"":""a1d1""},{""games"":21,""share"":0.0067589314451239136,""uci"":""e2f4""},{""games"":14,""share"":0.004505954296749276,""uci"":""g2g3""},{""games"":13,""share"":0.0041841004184100415,""uci"":""h2h3""},{""games"":6,""share"":0.0019311232700354038,""uci"":""c3d5""},{""games"":4,""share"":0.001287415513356936,""uci"":""b2b3""},{""games"":3,""share"":0.0009655616350177019,""uci"":""e1f2""},{""games"":2,""share"":0.000643707756678468,""uci"":""c4c5""}]",0.003757255739615384,0.21608075182735817,243,1.0,0.01604657877195026,0.7943612948137835,2833,0.9118120373350499
1rbq1rk1/2p1ppbp/p1np1np1/1p6/2PP4/2N1B1PP/PP1NPPB1/R2Q1RK1 b - -,1rbq1rk1/2p1ppbp/p1np1np1/1p6/2PP4/2N1B1PP/PP1NPPB1/R2Q1RK1 b - - 1 10,35,35,1.0,"[{""games"":20,""share"":0.5714285714285714,""uci"":""c6a5""},{""games"":13,""share"":0.37142857142857144,""uci"":""c8d7""},{""games"":1,""share"":0.02857142857142857,""uci"":""c8b7""},{""games"":1,""share"":0.02857142857142857,""uci"":""b5b4""}]",0.021014818569600635,0.8791507135398539,35,1.0,,,1,1.0
1rbq1rk1/2p1ppbp/p1np1np1/1p6/2PP4/2N1BNPP/PP2PPB1/R2Q1RK1 w - -,1rbq1rk1/2p1ppbp/p1np1np1/1p6/2PP4/2N1BNPP/PP2PPB1/R2Q1RK1 w - - 0 10,183,183,1.0,"[{""games"":97,""share"":0.5300546448087432,""uci"":""c4b5""},{""games"":35,""share"":0.1912568306010929,""uci"":""f3d2""},{""games"":28,""share"":0.15300546448087432,""uci"":""b2b3""},{""games"":15,""share"":0.08196721311475409,""uci"":""d4d5""},{""games"":3,""share"":0.01639344262295082,""uci"":""f3g5""},{""games"":3,""share"":0.01639344262295082,""uci"":""c4c5""},{""games"":2,""share"":0.01092896174863388,""uci"":""a1c1""}]",,,28,1.0,0.005195083752797425,0.31399234249912983,183,1.0
1rbq1rk1/4pp1p/p2p1npb/n1pP4/2P5/2N3P1/PBQNPPBP/R4RK1 w - -,1rbq1rk1/4pp1p/p2p1npb/n1pP4/2P5/2N3P1/PBQNPPBP/R4RK1 w - - 1 14,85,85,1.0,"[{""games"":43,""share"":0.5058823529411764,""uci"":""f2f4""},{""games"":26,""share"":0.3058823529411765,""uci"":""e2e3""},{""games"":8,""share"":0.09411764705882353,""uci"":""c3b1""},{""games"":5,""share"":0.058823529411764705,""uci"":""c3e4""},{""games"":1,""share"":0.011764705882352941,""uci"":""c3d1""},{""games"":1,""share"":0.011764705882352941,""uci"":""d2e4""},{""games"":1,""share"":0.011764705882352941,""uci"":""c2b1""}]",,,10,1.0,0.03885393595410391,0.9727810650887574,85,1.0
1rbq1rk1/4ppbp/p2p1np1/n1pP4/2P5/2N3P1/PBQNPPBP/R4RK1 b - -,1rbq1rk1/4ppbp/p2p1np1/n1pP4/2P5/2N3P1/PBQNPPBP/R4RK1 b - - 0 13,385,385,1.0,"[{""games"":85,""share"":0.22077922077922077,""uci"":""g7h6""},{""games"":53,""share"":0.13766233766233765,""uci"":""e7e6""},{""games"":50,""share"":0.12987012987012986,""uci"":""c8f5""},{""games"":48,""share"":0.12467532467532468,""uci"":""c8d7""},{""games"":45,""share"":0.11688311688311688,""uci"":""f6g4""},{""games"":33,""share"":0.08571428571428572,""uci"":""b8b4""},{""games"":32,""share"":0.08311688311688312,""uci"":""f6d7""},{""games"":19,""share"":0.04935064935064935,""uci"":""e7e5""},{""games"":8,""share"":0.02077922077922078,""uci"":""c8g4""},{""games"":8,""share"":0.02077922077922078,""uci"":""b8b2""},{""games"":1,""share"":0.0025974025974025974,""uci"":""d8b6""},{""games"":1,""share"":0.0025974025974025974,""uci"":""d8c7""},{""games"":1,""share"":0.0025974025974025974,""uci"":""f6e8""},{""games"":1,""share"":0.0025974025974025974,""uci"":""a5c4""}]",0.0076886139542566845,0.47382526975287154,385,1.0,0.0036143868012592506,0.2074486599373477,50,1.0
1rbq1rk1/4ppbp/p2p1np1/n1pP4/2p5/1PN3P1/PBQNPPBP/R4RK1 w - -,1rbq1rk1/4ppbp/p2p1np1/n1pP4/2p5/1PN3P1/PBQNPPBP/R4RK1 w - - 0 13,414,414,1.0,"[{""games"":380,""share"":0.9178743961352657,""uci"":""b3c4""},{""games"":34,""share"":0.0821256038647343,""uci"":""d2c4""}]",0.0076886139542566845,0.47382526975287154,385,1.0,0.004341129304686331,0.25579533588583364,414,1.0
