position_epd,fen,total_games,covered_games,coverage,moves_json,white_practical_gamble_raw,white_practical_gamble,white_practical_gamble_games,white_practical_gamble_coverage,black_practical_gamble_raw,black_practical_gamble,black_practical_gamble_games,black_practical_gamble_coverage
r2q1rk1/pb1nbppp/1pp1pn2/8/2PPNB2/5NP1/PPQ2PBP/R4RK1 b - -,r2q1rk1/pb1nbppp/1pp1pn2/8/2PPNB2/5NP1/PPQ2PBP/R4RK1 b - - 0 11,1385,1385,1.0,"[{""games"":795,""share"":0.5740072202166066,""uci"":""f6e4""},{""games"":394,""share"":0.28447653429602887,""uci"":""c6c5""},{""games"":121,""share"":0.08736462093862817,""uci"":""a8c8""},{""games"":36,""share"":0.025992779783393503,""uci"":""f6h5""},{""games"":19,""share"":0.013718411552346571,""uci"":""d8c8""},{""games"":10,""share"":0.007220216606498195,""uci"":""h7h6""},{""games"":4,""share"":0.002888086642599278,""uci"":""f8e8""},{""games"":2,""share"":0.001444043321299639,""uci"":""a8b8""},{""games"":1,""share"":0.0007220216606498195,""uci"":""g7g6""},{""games"":1,""share"":0.0007220216606498195,""uci"":""d7b8""},{""games"":1,""share"":0.0007220216606498195,""uci"":""a7a6""},{""games"":1,""share"":0.0007220216606498195,""uci"":""b6b5""}]",0.015631157388952266,0.7852767142359902,1385,1.0,0.008752636659227486,0.5335189697180648,403,1.0
r2q1rk1/pb1nbppp/1pp1pn2/8/2PPpB2/5NP1/PPQN1PBP/R4RK1 w - -,r2q1rk1/pb1nbppp/1pp1pn2/8/2PPpB2/5NP1/PPQN1PBP/R4RK1 w - - 0 11,479,479,1.0,"[{""games"":470,""share"":0.9812108559498957,""uci"":""d2e4""},{""games"":6,""share"":0.012526096033402923,""uci"":""f3g5""},{""games"":2,""share"":0.0041753653444676405,""uci"":""c2e4""},{""games"":1,""share"":0.0020876826722338203,""uci"":""f4g5""}]",0.015631157388952266,0.7852767142359902,1385,1.0,0.0015798058744842525,0.08729550991994431,479,1.0
r2q1rk1/pb1nbppp/2p1pn2/1p1p4/2PP4/1PN2NP1/P1Q1PPBP/R1BR2K1 w - -,r2q1rk1/pb1nbppp/2p1pn2/1p1p4/2PP4/1PN2NP1/P1Q1PPBP/R1BR2K1 w - - 0 11,1,1,1.0,"[{""games"":1,""share"":1.0,""uci"":""c4b5""}]",,,0,0.0,,,1,1.0
r2q1rk1/pb2bppp/npp1pn2/3p4/2PPP3/5NP1/PPQN1PBP/R1B2RK1 w - -,r2q1rk1/pb2bppp/npp1pn2/3p4/2PPP3/5NP1/PPQN1PBP/R1B2RK1 w - - 1 10,966,966,1.0,"[{""games"":439,""share"":0.45445134575569357,""uci"":""e4e5""},{""games"":394,""share"":0.4078674948240166,""uci"":""a2a3""},{""games"":61,""share"":0.06314699792960662,""uci"":""c4d5""},{""games"":40,""share"":0.041407867494824016,""uci"":""f1d1""},{""games"":17,""share"":0.017598343685300208,""uci"":""b2b3""},{""games"":8,""share"":0.008281573498964804,""uci"":""f1e1""},{""games"":3,""share"":0.003105590062111801,""uci"":""f3e5""},{""games"":3,""share"":0.003105590062111801,""uci"":""e4d5""},{""games"":1,""share"":0.0010351966873706005,""uci"":""f3g5""}]",0.0020502590732884296,0.11347024016707274,439,1.0,0.001218288672188761,0.06992690567351201,966,1.0
r2q1rk1/pbpn1ppp/1p1bpn2/3p4/2PP4/1P1BPN2/PB1N1PPP/R2Q1RK1 b - -,r2q1rk1/pbpn1ppp/1p1bpn2/3p4/2PP4/1P1BPN2/PB1N1PPP/R2Q1RK1 b - - 8 9,2100,2100,1.0,"[{""games"":913,""share"":0.43476190476190474,""uci"":""c7c5""},{""games"":480,""share"":0.22857142857142856,""uci"":""f6e4""},{""games"":167,""share"":0.07952380952380952,""uci"":""f8e8""},{""games"":160,""share"":0.0761904761904762,""uci"":""d5c4""},{""games"":102,""share"":0.04857142857142857,""uci"":""d8e7""},{""games"":89,""share"":0.04238095238095238,""uci"":""a8c8""},{""games"":88,""share"":0.0419047619047619,""uci"":""c7c6""},{""games"":42,""share"":0.02,""uci"":""h7h6""},{""games"":22,""share"":0.010476190476190476,""uci"":""a7a6""},{""games"":13,""share"":0.006190476190476191,""uci"":""a7a5""},{""games"":6,""share"":0.002857142857142857,""uci"":""f6g4""},{""games"":5,""share"":0.002380952380952381,""uci"":""e6e5""},{""games"":4,""share"":0.0019047619047619048,""uci"":""f6e8""},{""games"":3,""share"":0.0014285714285714286,""uci"":""a8b8""},{""games"":2,""share"":0.0009523809523809524,""uci"":""b7a6""},{""games"":2,""share"":0.0009523809523809524,""uci"":""d6e7""},{""games"":1,""share"":0.0004761904761904762,""uci"":""g7g6""},{""games"":1,""share"":0.0004761904761904762,""uci"":""d8e8""}]",0.005686368922966478,0.3470240167072746,2100,1.0,0.011643609782013287,0.6656456665506439,768,1.0
r2q1rk1/pbpn1ppp/1p1bpn2/3p4/2PP4/1P1BPN2/PB3PPP/RN1Q1RK1 w - -,r2q1rk1/pbpn1ppp/1p1bpn2/3p4/2PP4/1P1BPN2/PB3PPP/RN1Q1RK1 w - - 7 9,431,431,1.0,"[{""games"":213,""share"":0.494199535962877,""uci"":""b1d2""},{""games"":114,""share"":0.26450116009280744,""uci"":""b1c3""},{""games"":49,""share"":0.1136890951276102,""uci"":""f3e5""},{""games"":16,""share"":0.037122969837587005,""uci"":""c4d5""},{""games"":12,""share"":0.027842227378190254,""uci"":""d1e2""},{""games"":9,""share"":0.02088167053364269,""uci"":""f1e1""},{""games"":6,""share"":0.013921113689095127,""uci"":""d1c2""},{""games"":4,""share"":0.009280742459396751,""uci"":""a2a3""},{""games"":4,""share"":0.009280742459396751,""uci"":""h2h3""},{""games"":1,""share"":0.002320185614849188,""uci"":""a2a4""},{""games"":1,""share"":0.002320185614849188,""uci"":""c4c5""},{""games"":1,""share"":0.002320185614849188,""uci"":""d3c2""},{""games"":1,""share"":0.002320185614849188,""uci"":""b2c3""}]",,,19,1.0,0.005907958989518847,0.36237382526975287,431,1.0
r2q1rk1/pbppbppp/np2pn2/8/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1 w - -,r2q1rk1/pbppbppp/np2pn2/8/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1 w - - 7 8,1084,1084,1.0,"[{""games"":418,""share"":0.3856088560885609,""uci"":""a2a3""},{""games"":241,""share"":0.22232472324723246,""uci"":""f1e1""},{""games"":95,""share"":0.08763837638376384,""uci"":""d4d5""},{""games"":79,""share"":0.07287822878228782,""uci"":""d1c2""},{""games"":73,""share"":0.06734317343173432,""uci"":""b2b3""},{""games"":50,""share"":0.046125461254612546,""uci"":""c1g5""},{""games"":41,""share"":0.03782287822878229,""uci"":""c1f4""},{""games"":30,""share"":0.027675276752767528,""uci"":""e2e4""},{""games"":12,""share"":0.01107011070110701,""uci"":""f3e5""},{""games"":11,""share"":0.01014760147601476,""uci"":""e2e3""},{""games"":5,""share"":0.004612546125461255,""uci"":""d1a4""},{""games"":4,""share"":0.0036900369003690036,""uci"":""h2h3""},{""games"":4,""share"":0.0036900369003690036,""uci"":""d1d3""},{""games"":4,""share"":0.0036900369003690036,""uci"":""h2h4""},{""games"":3,""share"":0.0027675276752767526,""uci"":""a2a4""},{""games"":3,""share"":0.0027675276752767526,""uci"":""f3e1""},{""games"":3,""share"":0.0027675276752767526,""uci"":""c1d2""},{""games"":2,""share"":0.0018450184501845018,""uci"":""f3d2""},{""games"":2,""share"":0.0018450184501845018,""uci"":""d1b3""},{""games"":1,""share"":0.0009225092250922509,""uci"":""c3b5""},{""games"":1,""share"":0.0009225092250922509,""uci"":""c1e3""},{""games"":1,""share"":0.0009225092250922509,""uci"":""g1h1""},{""games"":1,""share"":0.0009225092250922509,""uci"":""a1b1""}]",0.020977702076937277,0.8788026453184824,193,1.0,0.0231755719299524,0.9021928297946398,1084,1.0
r2q1rk1/pp1bbppp/2nppn2/8/3NPP2/2N1B3/PPP1B1PP/R2Q1RK1 w - -,r2q1rk1/pp1bbppp/2nppn2/8/3NPP2/2N1B3/PPP1B1PP/R2Q1RK1 w - - 3 10,2121,2121,1.0,"[{""games"":469,""share"":0.22112211221122113,""uci"":""e2f3""},{""games"":290,""share"":0.13672795851013672,""uci"":""g1h1""},{""games"":256,""share"":0.1206977840641207,""uci"":""d1e1""},{""games"":199,""share"":0.09382366808109383,""uci"":""f4f5""},{""games"":149,""share"":0.07024988213107025,""uci"":""d1d2""},{""games"":111,""share"":0.05233380480905234,""uci"":""g2g4""},{""games"":107,""share"":0.050447901933050446,""uci"":""d4c6""},{""games"":93,""share"":0.04384724186704385,""uci"":""a2a3""},{""games"":82,""share"":0.03866100895803866,""uci"":""d4b5""},{""games"":81,""share"":0.03818953323903819,""uci"":""d4b3""},{""games"":70,""share"":0.033003300330033,""uci"":""d4f3""},{""games"":69,""share"":0.03253182461103253,""uci"":""e4e5""},{""games"":42,""share"":0.019801980198019802,""uci"":""h2h3""},{""games"":26,""share"":0.012258368694012258,""uci"":""a2a4""},{""games"":19,""share"":0.008958038661008957,""uci"":""f1f3""},{""games"":16,""share"":0.007543611504007544,""uci"":""e2d3""},{""games"":8,""share"":0.003771805752003772,""uci"":""e3f2""},{""games"":8,""share"":0.003771805752003772,""uci"":""a1b1""},{""games"":5,""share"":0.0023573785950023575,""uci"":""a1c1""},{""games"":5,""share"":0.0023573785950023575,""uci"":""c3b5""},{""games"":4,""share"":0.001885902876001886,""uci"":""b2b3""},{""games"":3,""share"":0.0014144271570014145,""uci"":""d1d3""},{""games"":3,""share"":0.0014144271570014145,""uci"":""e2c4""},{""games"":2,""share"":0.000942951438000943,""uci"":""e2g4""},{""games"":2,""share"":0.000942951438000943,""uci"":""f1f2""},{""games"":1,""share"":0.0004714757190004715,""uci"":""f1e1""},{""games"":1,""share"":0.0004714757190004715,""uci"":""h2h4""}]",0.008458842237525244,0.5164288200487296,187,1.0,0.013803968392539334,0.7383223111729899,2121,1.0
r2q1rk1/pp1bbppp/2nppn2/8/4PP2/1NN1B3/PPP1B1PP/R2Q1RK1 b - -,r2q1rk1/pp1bbppp/2nppn2/8/4PP2/1NN1B3/PPP1B1PP/R2Q1RK1 b - - 4 10,187,187,1.0,"[{""games"":96,""share"":0.5133689839572193,""uci"":""a7a6""},{""games"":34,""share"":0.18181818181818182,""uci"":""a8c8""},{""games"":15,""share"":0.08021390374331551,""uci"":""e6e5""},{""games"":12,""share"":0.06417112299465241,""uci"":""d8c7""},{""games"":8,""share"":0.0427807486631016,""uci"":""d6d5""},{""games"":6,""share"":0.03208556149732621,""uci"":""a7a5""},{""games"":3,""share"":0.016042780748663103,""uci"":""f8e8""},{""games"":2,""share"":0.0106951871657754,""uci"":""h7h6""},{""games"":2,""share"":0.0106951871657754,""uci"":""d8c8""},{""games"":2,""share"":0.0106951871657754,""uci"":""f6e8""},{""games"":2,""share"":0.0106951871657754,""uci"":""c6a5""},{""games"":1,""share"":0.0053475935828877,""uci"":""d8b8""},{""games"":1,""share"":0.0053475935828877,""uci"":""a8b8""},{""games"":1,""share"":0.0053475935828877,""uci"":""c6b4""},{""games"":1,""share"":0.0053475935828877,""uci"":""g7g6""},{""games"":1,""share"":0.0053475935828877,""uci"":""b7b6""}]",0.008458842237525244,0.5164288200487296,187,1.0,,,6,1.0
r2q1rk1/pp1bppbp/2np1np1/8/2BNP2P/2N1BP2/PPPQ2P1/R3K2R b KQ -,r2q1rk1/pp1bppbp/2np1np1/8/2BNP2P/2N1BP2/PPPQ2P1/R3K2R b KQ - 0 10,6740,6740,1.0,"[{""games"":2617,""share"":0.38827893175074185,""uci"":""h7h5""},{""games"":2042,""share"":0.3029673590504451,""uci"":""a8c8""},{""games"":647,""share"":0.0959940652818991,""uci"":""c6e5""},{""games"":408,""share"":0.060534124629080116,""uci"":""d8a5""},{""games"":300,""share"":0.04451038575667656,""uci"":""a7a6""},{""games"":224,""share"":0.03323442136498516,""uci"":""a8b8""},{""games"":157,""share"":0.023293768545994065,""uci"":""c6d4""},{""games"":102,""share"":0.015133531157270029,""uci"":""d8c7""},{""games"":63,""share"":0.009347181008902077,""uci"":""c6a5""},{""games"":57,""share"":0.008456973293768546,""uci"":""f6h5""},{""games"":37,""share"":0.005489614243323442,""uci"":""f8e8""},{""games"":21,""share"":0.003115727002967359,""uci"":""e7e5""},{""games"":16,""share"":0.002373887240356083,""uci"":""d8b8""},{""games"":13,""share"":0.0019287833827893175,""uci"":""a7a5""},{""games"":8,""share"":0.0011869436201780415,""uci"":""e7e6""},{""games"":8,""share"":0.0011869436201780415,""uci"":""d8c8""},{""games"":6,""share"":0.0008902077151335311,""uci"":""d8b6""},{""games"":5,""share"":0.000741839762611276,""uci"":""h7h6""},{""games"":3,""share"":0.00044510385756676556,""uci"":""d6d5""},{""games"":3,""share"":0.00044510385756676556,""uci"":""b7b5""},{""games"":1,""share"":0.0001483679525222552,""uci"":""g7h8""},{""games"":1,""share"":0.0001483679525222552,""uci"":""g8h8""},{""games"":1,""share"":0.0001483679525222552,""uci"":""d7c8""}]",0.004428728845134677,0.2609815523842673,6740,1.0,0.007628443473681301,0.4702749738948834,291,0.6495535714285714
r2q1rk1/pp1bppbp/2np1np1/8/2BNP3/2N1BP2/PPPQ2PP/2KR3R b - -,r2q1rk1/pp1bppbp/2np1np1/8/2BNP3/2N1BP2/PPPQ2PP/2KR3R b - - 6 10,54066,54066,1.0,"[{""games"":28924,""share"":0.5349757703547516,""uci"":""a8c8""},{""games"":5914,""share"":0.10938482595346428,""uci"":""a7a6""},{""games"":5368,""share"":0.09928605778123034,""uci"":""c6e5""},{""games"":4639,""share"":0.08580253763918175,""uci"":""d8a5""},{""games"":3966,""share"":0.07335478859172123,""uci"":""a8b8""},{""games"":1498,""share"":0.02770687678023157,""uci"":""c6d4""},{""games"":889,""share"":0.016442866126586023,""uci"":""d8c7""},{""games"":673,""share"":0.01244774904746051,""uci"":""c6a5""},{""games"":523,""share"":0.009673362186956682,""uci"":""a7a5""},{""games"":519,""share"":0.009599378537343247,""uci"":""d8b8""},{""games"":511,""share"":0.009451411238116375,""uci"":""f8e8""},{""games"":129,""share"":0.0023859727000332927,""uci"":""h7h5""},{""games"":128,""share"":0.002367476787629934,""uci"":""b7b5""},{""games"":95,""share"":0.0017571116783190914,""uci"":""d8c8""},{""games"":73,""share"":0.0013502016054451967,""uci"":""e7e6""},{""games"":68,""share"":0.0012577220434284023,""uci"":""e7e5""},{""games"":33,""share"":0.0006103651093108423,""uci"":""d6d5""},{""games"":27,""share"":0.0004993896348906891,""uci"":""d8b6""},{""games"":21,""share"":0.000388414160470536,""uci"":""f6e8""},{""games"":19,""share"":0.0003514223356638183,""uci"":""c6b4""},{""games"":15,""share"":0.00027743868605038287,""uci"":""b7b6""},{""games"":11,""share"":0.00020345503643694744,""uci"":""g7h8""},{""games"":6,""share"":0.00011097547442015315,""uci"":""f6h5""},{""games"":5,""share"":9.247956201679429e-05,""uci"":""d7c8""},{""games"":4,""share"":7.398364961343543e-05,""uci"":""g8h8""},{""games"":2,""share"":3.6991824806717716e-05,""uci"":""d7e6""},{""games"":2,""share"":3.6991824806717716e-05,""uci"":""h7h6""},{""games"":2,""share"":3.6991824806717716e-05,""uci"":""d8e8""},{""games"":1,""share"":1.8495912403358858e-05,""uci"":""d7e8""},{""games"":1,""share"":1.8495912403358858e-05,""uci"":""f6g4""}]",0.004411710534154456,0.259902540898016,54066,1.0,0.019426187547359974,0.8578141315697877,29003,1.0
r2q1rk1/pp1bppbp/2np1np1/8/2BNP3/2N1BP2/PPPQ2PP/R3K2R w KQ -,r2q1rk1/pp1bppbp/2np1np1/8/2BNP3/2N1BP2/PPPQ2PP/R3K2R w KQ - 5 10,71411,71411,1.0,"[{""games"":49640,""share"":0.6951310022265478,""uci"":""e1a1""},{""games"":7409,""share"":0.10375152287462716,""uci"":""c4b3""},{""games"":6598,""share"":0.09239472910335943,""uci"":""h2h4""},{""games"":3704,""share"":0.05186875971488986,""uci"":""g2g4""},{""games"":1581,""share"":0.022139446303790732,""uci"":""d4c6""},{""games"":796,""share"":0.011146742098556244,""uci"":""e1h1""},{""games"":542,""share"":0.0075898671073083976,""uci"":""a2a3""},{""games"":386,""share"":0.0054053297111089325,""uci"":""e3h6""},{""games"":336,""share"":0.004705157468737309,""uci"":""d4e2""},{""games"":198,""share"":0.002772682079791629,""uci"":""d4b3""},{""games"":54,""share"":0.0007561860217613533,""uci"":""a1d1""},{""games"":35,""share"":0.0004901205696601364,""uci"":""a2a4""},{""games"":28,""share"":0.0003920964557281091,""uci"":""h2h3""},{""games"":25,""share"":0.0003500861211858117,""uci"":""e1d1""},{""games"":24,""share"":0.00033608267633837926,""uci"":""c3d5""},{""games"":14,""share"":0.00019604822786405455,""uci"":""c3e2""},{""games"":6,""share"":8.402066908459482e-05,""uci"":""c4b5""},{""games"":4,""share"":5.601377938972987e-05,""uci"":""d4b5""},{""games"":3,""share"":4.201033454229741e-05,""uci"":""c4e2""},{""games"":3,""share"":4.201033454229741e-05,""uci"":""c4d5""},{""games"":3,""share"":4.201033454229741e-05,""uci"":""d2d1""},{""games"":3,""share"":4.201033454229741e-05,""uci"":""f3f4""},{""games"":2,""share"":2.8006889694864936e-05,""uci"":""c4f1""},{""games"":2,""share"":2.8006889694864936e-05,""uci"":""e1e2""},{""games"":2,""share"":2.8006889694864936e-05,""uci"":""d2f2""},{""games"":2,""share"":2.8006889694864936e-05,""uci"":""d4f5""},{""games"":2,""share"":2.8006889694864936e-05,""uci"":""c4d3""},{""games"":2,""share"":2.8006889694864936e-05,""uci"":""g2g3""},{""games"":1,""share"":1.4003444847432468e-05,""uci"":""e1f1""},{""games"":1,""share"":1.4003444847432468e-05,""uci"":""d2c1""},{""games"":1,""share"":1.4003444847432468e-05,""uci"":""e3g5""},{""games"":1,""share"":1.4003444847432468e-05,""uci"":""e3g1""},{""games"":1,""share"":1.4003444847432468e-05,""uci"":""b2b3""},{""games"":1,""share"":1.4003444847432468e-05,""uci"":""e3f2""},{""games"":1,""share"":1.4003444847432468e-05,""uci"":""a1c1""}]",0.004411710534154456,0.259902540898016,54066,1.0,0.0090463316834693,0.548103028193526,20975,0.293722255674896
r2q1rk1/pp1bppbp/2np1np1/8/3NP3/1BN1BP2/PPPQ2PP/R3K2R b KQ -,r2q1rk1/pp1bppbp/2np1np1/8/3NP3/1BN1BP2/PPPQ2PP/R3K2R b KQ - 6 10,30755,30755,1.0,"[{""games"":13997,""share"":0.455112989757763,""uci"":""a8c8""},{""games"":3430,""share"":0.11152658104373273,""uci"":""a7a6""},{""games"":3229,""share"":0.10499105836449357,""uci"":""c6d4""},{""games"":3134,""share"":0.10190212973500244,""uci"":""d8a5""},{""games"":1438,""share"":0.046756624939034305,""uci"":""c6e5""},{""games"":1277,""share"":0.04152170378800195,""uci"":""f8e8""},{""games"":1142,""share"":0.037132173630304015,""uci"":""a8b8""},{""games"":1084,""share"":0.035246301414404164,""uci"":""c6a5""},{""games"":1066,""share"":0.0346610307267111,""uci"":""a7a5""},{""games"":403,""share"":0.013103560396683466,""uci"":""d8c7""},{""games"":109,""share"":0.003544139164363518,""uci"":""d8b8""},{""games"":107,""share"":0.0034791090879531784,""uci"":""h7h5""},{""games"":73,""share"":0.002373597788977402,""uci"":""d8c8""},{""games"":64,""share"":0.002080962445130873,""uci"":""e7e5""},{""games"":54,""share"":0.001755812063079174,""uci"":""e7e6""},{""games"":34,""share"":0.0011055112989757762,""uci"":""b7b5""},{""games"":26,""share"":0.0008453909933344171,""uci"":""f6h5""},{""games"":21,""share"":0.0006828158023085677,""uci"":""b7b6""},{""games"":19,""share"":0.000617785725898228,""uci"":""d8b6""},{""games"":11,""share"":0.0003576654202568688,""uci"":""f6e8""},{""games"":9,""share"":0.000292635343846529,""uci"":""g7h8""},{""games"":9,""share"":0.000292635343846529,""uci"":""d6d5""},{""games"":7,""share"":0.00022760526743618924,""uci"":""g8h8""},{""games"":4,""share"":0.00013006015282067957,""uci"":""c6b4""},{""games"":4,""share"":0.00013006015282067957,""uci"":""d7e6""},{""games"":2,""share"":6.503007641033979e-05,""uci"":""h7h6""},{""games"":1,""share"":3.251503820516989e-05,""uci"":""c6b8""},{""games"":1,""share"":3.251503820516989e-05,""uci"":""d7c8""}]",0.017032496947635645,0.8160807518273582,30755,1.0,0.00025847268828005365,0.020257570483814828,3223,0.998141839578817
r2q1rk1/pp2bpp1/2n2n1p/3p4/3N2b1/2N1B1P1/PP2PPBP/R2Q1RK1 w - -,r2q1rk1/pp2bpp1/2n2n1p/3p4/3N2b1/2N1B1P1/PP2PPBP/R2Q1RK1 w - - 2 12,163,163,1.0,"[{""games"":75,""share"":0.4601226993865031,""uci"":""h2h3""},{""games"":30,""share"":0.18404907975460122,""uci"":""a1c1""},{""games"":16,""share"":0.09815950920245399,""uci"":""d1a4""},{""games"":14,""share"":0.08588957055214724,""uci"":""d1b3""},{""games"":8,""share"":0.049079754601226995,""uci"":""f2f3""},{""games"":7,""share"":0.04294478527607362,""uci"":""d1d2""},{""games"":6,""share"":0.03680981595092025,""uci"":""d4c6""},{""games"":3,""share"":0.018404907975460124,""uci"":""f1e1""},{""games"":3,""share"":0.018404907975460124,""uci"":""d4b3""},{""games"":1,""share"":0.006134969325153374,""uci"":""d4f3""}]",0.0077914796074165515,0.47901148625130524,76,1.0,0.009936586631912714,0.5890358510268012,163,1.0
r2q1rk1/pp2bppp/2n1bn2/2pp2B1/3P4/2N2NP1/PP2PPBP/2RQ1RK1 b - -,r2q1rk1/pp2bppp/2n1bn2/2pp2B1/3P4/2N2NP1/PP2PPBP/2RQ1RK1 b - - 10 10,1231,1231,1.0,"[{""games"":344,""share"":0.2794476035743298,""uci"":""c5d4""},{""games"":306,""share"":0.24857839155158407,""uci"":""c5c4""},{""games"":192,""share"":0.15597075548334688,""uci"":""a8c8""},{""games"":154,""share"":0.12510154346060115,""uci"":""h7h6""},{""games"":67,""share"":0.054427294882209584,""uci"":""b7b6""},{""games"":55,""share"":0.04467912266450041,""uci"":""f6e4""},{""games"":47,""share"":0.038180341186027617,""uci"":""d8b6""},{""games"":36,""share"":0.02924451665312754,""uci"":""a7a6""},{""games"":11,""share"":0.008935824532900082,""uci"":""d8a5""},{""games"":7,""share"":0.005686433793663688,""uci"":""f8e8""},{""games"":7,""share"":0.005686433793663688,""uci"":""d8d7""},{""games"":4,""share"":0.003249390739236393,""uci"":""c6d4""},{""games"":1,""share"":0.0008123476848090983,""uci"":""a8b8""}]",0.015685760130931703,0.7871214758092586,1231,1.0,0.012471077771044892,0.6950574312565263,368,1.0
r2q1rk1/pp2bppp/2n1bn2/2pp2B1/3P4/2N2NP1/PP2PPBP/R2Q1RK1 w - -,r2q1rk1/pp2bppp/2n1bn2/2pp2B1/3P4/2N2NP1/PP2PPBP/R2Q1RK1 w - - 9 10,4677,4677,1.0,"[{""games"":1382,""share"":0.2954885610434039,""uci"":""d4c5""},{""games"":1228,""share"":0.262561471028437,""uci"":""a1c1""},{""games"":793,""share"":0.16955313234979688,""uci"":""e2e3""},{""games"":529,""share"":0.1131066923241394,""uci"":""g5f6""},{""games"":188,""share"":0.0401967072909985,""uci"":""a2a3""},{""games"":144,""share"":0.030788967286722257,""uci"":""f1e1""},{""games"":127,""share"":0.027154158648706437,""uci"":""f3e5""},{""games"":64,""share"":0.013683985460765448,""uci"":""d1a4""},{""games"":52,""share"":0.011118238186871927,""uci"":""d1d2""},{""games"":49,""share"":0.010476801368398547,""uci"":""h2h3""},{""games"":33,""share"":0.007055805003207184,""uci"":""d1b3""},{""games"":15,""share"":0.003207184092366902,""uci"":""b2b3""},{""games"":14,""share"":0.0029933718195424416,""uci"":""a1b1""},{""games"":9,""share"":0.001924310455420141,""uci"":""g5e3""},{""games"":7,""share"":0.0014966859097712208,""uci"":""h2h4""},{""games"":7,""share"":0.0014966859097712208,""uci"":""e2e4""},{""games"":7,""share"":0.0014966859097712208,""uci"":""c3a4""},{""games"":6,""share"":0.0012828736369467607,""uci"":""c3b5""},{""games"":6,""share"":0.0012828736369467607,""uci"":""g5f4""},{""games"":5,""share"":0.0010690613641223007,""uci"":""d1c2""},{""games"":4,""share"":0.0008552490912978405,""uci"":""d1d3""},{""games"":2,""share"":0.00042762454564892024,""uci"":""g5c1""},{""games"":2,""share"":0.00042762454564892024,""uci"":""d1c1""},{""games"":1,""share"":0.00021381227282446012,""uci"":""g5h4""},{""games"":1,""share"":0.00021381227282446012,""uci"":""f3d2""},{""games"":1,""share"":0.00021381227282446012,""uci"":""f3h4""},{""games"":1,""share"":0.00021381227282446012,""uci"":""d1e1""}]",0.0004152262647441063,0.02854159415245388,529,1.0,0.008363869627746268,0.510268012530456,4677,1.0
r2q1rk1/pp2bppp/2n1bn2/3p2B1/2pP4/2N2NP1/PP2PPBP/2RQ1RK1 w - -,r2q1rk1/pp2bppp/2n1bn2/3p2B1/2pP4/2N2NP1/PP2PPBP/2RQ1RK1 w - - 0 11,368,368,1.0,"[{""games"":174,""share"":0.47282608695652173,""uci"":""f3e5""},{""games"":76,""share"":0.20652173913043478,""uci"":""b2b3""},{""games"":57,""share"":0.15489130434782608,""uci"":""f1e1""},{""games"":15,""share"":0.04076086956521739,""uci"":""e2e3""},{""games"":13,""share"":0.035326086956521736,""uci"":""a2a3""},{""games"":12,""share"":0.03260869565217391,""uci"":""g5f6""},{""games"":7,""share"":0.019021739130434784,""uci"":""d1c2""},{""games"":5,""share"":0.01358695652173913,""uci"":""h2h3""},{""games"":3,""share"":0.008152173913043478,""uci"":""d1a4""},{""games"":3,""share"":0.008152173913043478,""uci"":""d1d2""},{""games"":2,""share"":0.005434782608695652,""uci"":""g5f4""},{""games"":1,""share"":0.002717391304347826,""uci"":""e2e4""}]",0.01459006503732041,0.7619909502262443,80,1.0,0.012471077771044892,0.6950574312565263,368,1.0
r2q1rk1/pp2bppp/2npbn2/2p3B1/4P3/2N2N2/PPP1BPPP/R2Q1RK1 w - -,r2q1rk1/pp2bppp/2npbn2/2p3B1/4P3/2N2N2/PPP1BPPP/R2Q1RK1 w - - 4 10,405,405,1.0,"[{""games"":76,""share"":0.18765432098765433,""uci"":""d1d2""},{""games"":75,""share"":0.18518518518518517,""uci"":""f1e1""},{""games"":65,""share"":0.16049382716049382,""uci"":""a2a3""},{""games"":52,""share"":0.12839506172839507,""uci"":""g5f6""},{""games"":26,""share"":0.06419753086419754,""uci"":""h2h3""},{""games"":25,""share"":0.06172839506172839,""uci"":""e2b5""},{""games"":13,""share"":0.03209876543209877,""uci"":""e4e5""},{""games"":11,""share"":0.027160493827160494,""uci"":""a1b1""},{""games"":10,""share"":0.024691358024691357,""uci"":""c3d5""},{""games"":9,""share"":0.022222222222222223,""uci"":""c3b5""},{""games"":7,""share"":0.01728395061728395,""uci"":""d1e1""},{""games"":7,""share"":0.01728395061728395,""uci"":""b2b3""},{""games"":6,""share"":0.014814814814814815,""uci"":""e2d3""},{""games"":5,""share"":0.012345679012345678,""uci"":""g5f4""},{""games"":5,""share"":0.012345679012345678,""uci"":""d1c1""},{""games"":4,""share"":0.009876543209876543,""uci"":""d1d3""},{""games"":3,""share"":0.007407407407407408,""uci"":""f3h4""},{""games"":2,""share"":0.0049382716049382715,""uci"":""g5h4""},{""games"":2,""share"":0.0049382716049382715,""uci"":""g5e3""},{""games"":1,""share"":0.0024691358024691358,""uci"":""h2h4""},{""games"":1,""share"":0.0024691358024691358,""uci"":""a1c1""}]",0.0,0.003480682213713888,52,1.0,0.01318132777876102,0.7179255134006265,405,1.0
