value_kind,group,feature,count,min,p05,p25,median,mean,p75,p95,max,std,unique_count,pct_exact_0,pct_exact_1,pct_near_0,pct_near_1
calibrated,generalized,middlegame_complexity,148,0.0,0.050000050000000004,0.25000025000000003,0.5,0.5,0.74999975,0.94999995,1.0,0.29063228610712083,148,0.6756756756756757,0.6756756756756757,5.405405405405405,5.405405405405405
calibrated,generalized,pawn_structure_sharpness,148,0.193878,0.193878,0.193878,0.506803,0.5000002027027027,0.819728,0.9566325500000001,0.996599,0.27985795561884896,30,0.0,0.0,0.0,5.405405405405405
calibrated,generalized,material_imbalance,148,0.190476,0.190476,0.190476,0.520408,0.49999991891891893,0.74999975,0.9520412000000003,1.0,0.281261883057494,27,0.0,0.6756756756756757,0.0,5.405405405405405
calibrated,generalized,endgame_likelihood_proxy,148,0.0,0.050000050000000004,0.25000025000000003,0.5,0.5000000067567567,0.74999975,0.94999995,1.0,0.29063202470881383,147,0.6756756756756757,0.6756756756756757,5.405405405405405,5.405405405405405
calibrated,white,white_tactical_density,148,0.0,0.050000050000000004,0.25000025000000003,0.5,0.5000000135135135,0.74999975,0.94999995,1.0,0.2906317291491813,146,0.6756756756756757,0.6756756756756757,5.405405405405405,5.405405405405405
calibrated,white,white_quiet_position_density,148,0.0,0.050000050000000004,0.25000025000000003,0.498299,0.49999991891891893,0.74999975,0.94999995,1.0,0.2906072518430393,126,0.6756756756756757,0.6756756756756757,5.405405405405405,5.405405405405405
calibrated,white,white_king_safety_risk,148,0.0,0.047619,0.238095,0.47619,0.4999998581081081,0.751701,0.94999995,1.0,0.279595724489021,38,0.6756756756756757,0.6756756756756757,6.081081081081081,5.405405405405405
calibrated,white,white_early_castling_tendency,148,0.0,0.139456,0.25000025000000003,0.5,0.500000054054054,0.74999975,0.94999995,1.0,0.2894126109812486,91,0.6756756756756757,0.6756756756756757,4.72972972972973,5.405405405405405
calibrated,white,white_opposite_side_castling_tendency,148,0.170068,0.170068,0.170068,0.5,0.49999998648648647,0.74999975,0.9588432000000001,1.0,0.2845933585373953,78,0.0,0.6756756756756757,0.0,5.405405405405405
calibrated,white,white_middlegame_complexity,148,0.0,0.050000050000000004,0.25000025000000003,0.5,0.5,0.74999975,0.94999995,1.0,0.29063228610712083,148,0.6756756756756757,0.6756756756756757,5.405405405405405,5.405405405405405
